cluster_id,n,predicados_top,ejemplos,tipo_label
reltype:000,43139,"[[""proponer"", 936], [""aprobar"", 834], [""recibir"", 769], [""ofrecer"", 671], [""realizar"", 567], [""expresar"", 512], [""establecer"", 461], [""disponer"", 459]]","[""-Mejorar la estructura del sistema de salud ."", ""Requisitos -Tener DNI o Carné de Extranjería -No contar con un seguro de salud -Residir dentro del territorio peruano -Antes de iniciar, debes saber: Una vez instalada la aplicación SIS, verás una pantalla de bienvenida donde podrás elegir entre las opciones Afiliado o Invitado según sea el caso."", ""< https://e-notificacion.migraciones.gob.pe/dj-salud/ >.""]",
reltype:001,4481,"[[""iniciar"", 621], [""presentar"", 440], [""iniciar en"", 210], [""presentar en"", 202], [""iniciar a"", 187], [""presentar a"", 169], [""se iniciar"", 154], [""iniciar con"", 132]]","[""El Seminario Permanente de Astronomía y Ciencias Espaciales (SPACE) de la Facultad de Ciencias Físicas de la Universidad Nacional Mayor de San Marcos (UNMSM) a través de su proyecto “Pregúntale A Un Astrónomo” abre una convocatoria a nivel nacional para escolares del tercero al quinto de secundaria de colegios estatales para ofrecerles clases virtuales gratuitas de astronomía."", ""Bolsa de Valores de Lima abre a la baja en medio de volatilidad regional\nLa Bolsa de Valores de Lima (BVL) muestra indicadores negativos al inicio de la sesión de hoy, ante el descenso en el precio de las acciones mineras, en medio del desempeño variado de los mercados regionales por preocupaciones en torno a una nueva variante del covid-19."", ""Bolsa de Valores de Lima abre a la baja en medio de volatilidad regional\nLa Bolsa de Valores de Lima (BVL) muestra indicadores negativos al inicio de la sesión de hoy, ante el descenso de los papeles financieros, mineros e industriales, en medio del desempeño variado de los mercados regionales por preocupaciones en torno a una nueva variante del covid-19.""]",
reltype:002,1641,"[[""participar en"", 1051], [""participar"", 194], [""participar de"", 114], [""asistir a"", 97], [""participar del"", 31], [""participar a"", 28], [""participar para"", 26], [""participar al"", 16]]","[""[Lea también: Presidente Sagasti asiste a asunción de Elvia Barrios como titular del PJ ] Trayectoria Barrios es jueza de la Corte Suprema desde 2011 y ha presidido la Comisión de Justicia de Género, formada en 2016."", ""Presidente Sagasti asiste a asunción de Elvia Barrios como titular del PJ\nEl presidente de la República, Francisco Sagasti, asiste esta mañana a la ceremonia de asunción de Elvia Barrios como nueva titular del Poder Judicial (PJ) para el periodo enero 2021 - diciembre 2022."", ""A la ceremonia de asunción de cargo de la presidenta del Poder Judicial asistió el presidente Francisco Sagasti ; la presidenta del Congreso, Mirtha Vásquez; la presidenta del Tribunal Constitucional, Marianella Ledesma; la presidenta del Consejo de Ministros, Violeta Bermúdez, entre otras autoridades.""]",
reltype:003,1557,"[[""considerar"", 401], [""analizar"", 246], [""estimar"", 123], [""evaluar"", 87], [""se determinar"", 61], [""considerar en"", 58], [""evalua"", 51], [""determinar"", 43]]","[""Análisis más profundo de la informalidad Durante las sesiones previas, el jefe del INEI reconoció que la reducción de la economía informal es un componente clave en la lucha contra la desigualdad y exclusión social, tanto en países emergentes como en las naciones menos desarrolladas."", ""El Ministerio de Salud analiza los sistemas de registro con el fin de actualizar la información."", ""El Minsa analiza los sistemas de registro con el fin de actualizar la información.""]",
reltype:004,1470,"[[""reiterar"", 255], [""recalcar"", 155], [""reafirmar"", 125], [""regresar con"", 41], [""retomar"", 39], [""reiterar en"", 36], [""regir"", 34], [""respaldar"", 33]]","[""Elecciones 2021: Forsyth plantea que el Estado apoye a empresas conserveras\nEn una reunión con productores conserveros de Chimbote, el candidato presidencial del partido Victoria Nacional, George Forsyth, analizó la problemática de la mediana empresa y destacó su capacidad de generar empleo."", ""Elecciones 2021: Gálvez propone devolver capacidad sancionadora a la Contraloría\nEl candidato presidencial por el partido Renacimiento Unido Nacional (RUNA), Ciro Gálvez, propuso devolverle la capacidad sancionadora a la Contraloría General de la República, como una medida para luchar contra la corrupción."", ""El candidato presidencial por el partido Renacimiento Unido Nacional (RUNA), Ciro Gálvez, propuso devolverle la capacidad sancionadora a la Contraloría General de la República, como una medida para luchar contra la corrupción.""]",
reltype:005,1431,"[[""implementar"", 181], [""invocar a"", 155], [""ejecutar"", 135], [""ejecutar en"", 97], [""implementar en"", 75], [""implementar con"", 60], [""ejecutar por"", 48], [""se ejecutar en"", 48]]","[""Mincetur ofrece talleres gratuitos de capacitación\nLos artesanos de todo el país podrán capacitarse en innovación y tendencias del mercado de forma gratuita, gracias a los talleres virtuales que el Ministerio de Comercio Exterior y Turismo (MIncetur) ofrece a partir de este jueves 11 de febrero."", ""Los artesanos de todo el país podrán capacitarse en innovación y tendencias del mercado de forma gratuita, gracias a los talleres virtuales que el Ministerio de Comercio Exterior y Turismo (MIncetur) ofrece a partir de este jueves 11 de febrero."", ""Comercio electrónico En otro momento, comentó que ahora tendrán que capacitarse para el manejo de las plataformas de comercio electrónico existentes.""]",
reltype:006,1426,"[[""plantear"", 1075], [""plantear en"", 167], [""plantear a"", 34], [""plantear por"", 21], [""plantear contra"", 20], [""plantear con"", 17], [""plantear mediante"", 17], [""plantear para"", 14]]","[""Municipalidad de Lima plantó 500 árboles en avenida 200 Millas de VES\nLa Municipalidad Metropolitana de Lima (MML), a través del Servicio de Parques (Serpar), continúa con las jornadas de arborización en Villa El Salvador (VES), esta vez plantando 500 árboles a lo largo de tres cuadras de la avenida 200 Millas, ubicadas frente al Hospital de Emergencias."", ""Nicolás Arriola en La Victoria\nComo parte de su compromiso de arborizar la ciudad, la Municipalidad de Lima, a través del Servicio de Parques de Lima (Serpar), plantó 400 tecomas a lo largo de ocho cuadras de la av."", ""Como parte de su compromiso de arborizar la ciudad, la Municipalidad de Lima, a través del Servicio de Parques de Lima (Serpar), plantó 400 tecomas a lo largo de ocho cuadras de la av.""]",
reltype:007,1403,"[[""emitir"", 213], [""enviar a"", 198], [""distribuir a"", 97], [""enviar"", 71], [""enviar al"", 71], [""distribuir"", 54], [""enviar por"", 44], [""se distribuir en"", 40]]","[""El Ministerio de Salud comunicó este viernes que se han notificado 317 eventos adversos posteriores a la aplicación de 32,013 dosis de la vacuna Sputnik V, en los dos primeros días de la campaña nacional de vacunación contra la covid-19 que Argentina comenzó el martes pasado."", ""Asimismo, los familiares deben comunicar los datos de una persona autorizada a la que se brindará la información diaria sobre el estado de salud del paciente."", ""“Solo peruanos como él harán posible que Lima y Callao cuenten con un sistema integrado de transporte moderno, seguro, eficiente y digno”, comunicó la institución.""]",
reltype:008,1384,"[[""continuar"", 283], [""continuar con"", 197], [""continuar en"", 135], [""mantener"", 66], [""mantener con"", 54], [""se mantener en"", 52], [""se mantener"", 47], [""continuar a"", 40]]","[""Apadrina una taricaya, conserva Pacaya El Minam resaltó que ahora, todos podemos ser parte de una gran cruzada por la conservación de la mencionada especie de nuestra fauna, a través de la iniciativa “Apadrina una taricaya, conserva Pacaya”, liderada por el Sernanp."", ""Reserva Nacional Lago Titicaca Próxima a cumplir 42 años de creación como área natural protegida por el Estado, la Reserva Nacional Lago Titicaca conserva una gran biodiversidad, apoya el desarrollo socioeconómico de la región Puno y mantiene las tradiciones culturales de las comunidades que habitan las inmediaciones del lago más alto del mundo."", ""Reserva Nacional Calipuy cumple 40 años conservando al oso de anteojos\nEl Servicio Nacional de Áreas Naturales Protegidas por el Estado (Sernanp) continúa con el monitoreo biológico del “oso de anteojos” o “oso andino”, una de las ocho especies de oso diferentes que existen en el mundo y que se conservan en 31 áreas naturales protegidas del Perú, una de ellas, la Reserva Nacional de Calipuy, en el departamento de La Libertad.""]",
reltype:009,1362,"[[""pedir a"", 281], [""pedir"", 169], [""solicitar"", 104], [""solicitar al"", 74], [""solicitar en"", 58], [""solicitar a"", 53], [""pedir en"", 51], [""necesitar"", 48]]","[""El jefe de la ONPE destacó que en esta oportunidad, a diferencia de otros procesos, son las organizaciones políticas las que deciden en qué medios desean pasar su pauta electoral y que la organización que dirige solo actúa como un facilitador."", ""Carlos Zambrano: \""Deseo jugar en Alianza Lima, sea en segunda o tercera\""\nEl defensa Carlos Zambrano, quien se encuentra en Lima realizando una cuarentena de rigor debido a las medidas impuestas por el Poder Ejecutivo, dijo que le gustaría jugar en Alianza Lima donde sea, no importa si es en segunda o tercera división, y que espera retirarse del Boca Juniors como campeón de la Copa Libertadores\n14:58 | Lima, ene."", ""Deseo recuperar mi estado físico y técnico para poder llegar bien a las fechas pactadas.""]",
